"Action","Action"
"Actions","Actions"
"Add Carrier","Add Carrier"
"Add Custom Method","Add Custom Method"
"Add Existing Method","Add Existing Method"
"Add Rule","Add Rule"
"All Shipping Methods","All Shipping Methods"
"An error occurred while saving the carrier data. Please review the log and try again.","An error occurred while saving the carrier data. Please review the log and try again."
"An error occurred while updating the carrier(s) status.","An error occurred while updating the carrier(s) status."
"Apply the shipping rule only if the following conditions are met (leave blank for all products)","Apply the shipping rule only if the following conditions are met (leave blank for all products)"
"Are you sure?","Are you sure?"
"between","between"
"Carrier","Carrier"
"Carrier Information","Carrier Information"
"Carrier Name","Carrier Name"
"Carriers","Carriers"
"Carriers and Shipping Methods","Carriers and Shipping Methods"
"Cart Attribute","Cart Attribute"
"Cart Item Attribute","Cart Item Attribute"
"Change status","Change status"
"Conditions","Conditions"
"Conditions combination","Conditions combination"
"Created At","Created At"
"Custom Method","Custom Method"
"Custom Method Information","Custom Method Information"
"Custom Methods","Custom Methods"
"Customer attribute","Customer attribute"
"Description","Description"
"Discount","Discount"
"Easy Shipping Rules","Easy Shipping Rules"
"Edit Carrier","Edit Carrier"
"Edit Carrier '%s'","Edit Carrier '%s'"
"Edit Custom Method","Edit Custom Method"
"Edit Custom Method '%s'","Edit Custom Method '%s'"
"Edit Existing Method","Edit Existing Method"
"Edit Shipping Rule","Edit Shipping Rule"
"Edit Shipping Rule '%s'","Edit Shipping Rule '%s'"
"Existing Method","Existing Method"
"Existing Methods","Existing Methods"
"Fixed (all cart)","Fixed (all cart)"
"Fixed (per item qty)","Fixed (per item qty)"
"General","General"
"General Information","General Information"
"Hide","Hide"
"ID","ID"
"Leave blank to keep current Carrier Name","Leave blank to keep current Carrier Name"
"Leave blank to keep current Shipping Method Name","Leave blank to keep current Shipping Method Name"
"Method Name","Method Name"
"Name","Name"
"New Carrier","New Carrier"
"New Custom Method","New Custom Method"
"New Existing Method","New Existing Method"
"New Shipping Rule","New Shipping Rule"
"not between","not between"
"Overwrite","Overwrite"
"Percentage (based on subtotal)","Percentage (based on subtotal)"
"Please select carrier(s).","Please select carrier(s)."
"Position","Position"
"Price / Percentage","Price / Percentage"
"Price Action","Price Action"
"Product Attribute","Product Attribute"
"Product attribute combination","Product attribute combination"
"Programmatic Method","Programmatic Method"
"Rule Name","Rule Name"
"Rules","Rules"
"Set this value for replacing rules' price / percentage","Set this value for replacing rules' price / percentage"
"Shipping Method Name","Shipping Method Name"
"Shipping Methods","Shipping Methods"
"Shipping Rule","Shipping Rule"
"Shipping Rule Information","Shipping Rule Information"
"Surcharge","Surcharge"
"The carrier has been deleted.","The carrier has been deleted."
"The carrier has been saved.","The carrier has been saved."
"The custom method has been deleted.","The custom method has been deleted."
"The custom method has been saved.","The custom method has been saved."
"The existing method has been deleted.","The existing method has been deleted."
"The existing method has been saved.","The existing method has been saved."
"The shipping rule has been deleted.","The shipping rule has been deleted."
"The shipping rule has been saved.","The shipping rule has been saved."
"This carrier no longer exists.","This carrier no longer exists."
"This custom method no longer exists.","This custom method no longer exists."
"This existing method no longer exists.","This existing method no longer exists."
"This shipping rule no longer exists.","This shipping rule no longer exists."
"This value will be applied according choose in method: price or percentage","This value will be applied according choose in method: price or percentage"
"Unable to find a carrier to delete.","Unable to find a carrier to delete."
"Unable to find a custom method to delete.","Unable to find a custom method to delete."
"Unable to find a existing method to delete.","Unable to find a existing method to delete."
"Unable to find a shipping rule to delete.","Unable to find a shipping rule to delete."
"Update prices using the following information","Update prices using the following information"
"Updated At","Updated At"
"Wrong carrier specified.","Wrong carrier specified."
"Wrong custom method specified.","Wrong custom method specified."
"Wrong existing method specified.","Wrong existing method specified."
"Wrong shipping rule specified.","Wrong shipping rule specified."
